2008/07/11 06:03:43 

------------ PCB NO.: 07227-1
------------ ITEM   : 55.4X401.M01G
------------ Model  : CALADO MB 07227-1 GL960 SMT
 
17.10131.106     VR 10M 3P XRE094PVBINB1-2-12-         1 VR1
20.20378.015     CONN D 15P 070546FR015S202CR          1 CRT1
20.80967.050     CONN CTR 50P 800031MR050S197ZR        1 ODD1
20.D0197.104     CONN SMD ML 1R4P 85204-0400L          1 SPKR1
20.F0604.012     CONN CTR 12P SMD QT8A0121-1011        1 MDC1
20.F0754.022     CONN CTR SMD 22P SK16640              1 SATA1
20.F0789.026     CONN CTR 26P 10058937-100ABTLF        1 NEW1
20.F0984.004     CONN CTR SMD 4P 3802-E04Y-07R         1 BLUE1
20.F1000.003     CONN CTR SMD 3P 47434-0329            1 FAN1
20.F1047.040     CONN CTR SMD 40P 88242-4001           1 LCD1
20.F1152.007     CONN CTR 7P 250137MR007G139ZR         1 BAT1
20.F1198.002     CONN CTR SMD 2P 88460-0201            1 TRING1
20.I0055.001     CONN MEM CARD 40P R015-510-LM         1 CN2
20.K0192.025     CONN FPC SMD 25P 52271-2579           1 KB1
20.K0227.020     CONN FPC 20P SMD 52745-2097           1 CN1
20.K0228.012     CONN FPC 12P SMD 87151-1207G          1 TPAD1
22.10021.H61     SKT MINI-D 7P MH11773-YU8S-9F         1 TVOUT1
22.10037.E91     SKT PWR JACK 4P 2DC-S726-I06          1 DC1
22.10123.081     SKT MDL JACK 8P+2P JM34F2A-           1 RJ1
22.10133.B01     SKT PHONE JACK 6P 2SJ-S351-S08        1 MICIN1
22.10133.B21     SKT PHONE JACK 6P 2SJ-S351-S07        1 LOUT1
22.10218.Q41     SKT USB 4P UB9112C-R1201-4F           1 USB1
22.10218.R31     SKT USB 4P 020173MR004S592ZL          2 USB3
22.10218.R31     SKT USB 4P 020173MR004S592ZL          2 USB2
34.13B01.001     EMI SPRING FOR REAR P16               2 GND7
34.13B01.001     EMI SPRING FOR REAR P16               2 GND6
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H9
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H8
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H7
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H6
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H5
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H11
34.42Y01.011     MODEM STAND OFF- ROHS                 7 H10
34.49U23.001     EMI CLIP3.4*2.6*2.0MM BECU            6 GND9
34.49U23.001     EMI CLIP3.4*2.6*2.0MM BECU            6 GND8
34.49U23.001     EMI CLIP3.4*2.6*2.0MM BECU            6 GND13
34.49U23.001     EMI CLIP3.4*2.6*2.0MM BECU            6 GND12
34.49U23.001     EMI CLIP3.4*2.6*2.0MM BECU            6 GND11
34.49U23.001     EMI CLIP3.4*2.6*2.0MM BECU            6 GND10
34.49U26.001     EMI CLIP3.6*2.1*1.8MM BECU            2 GND5
34.49U26.001     EMI CLIP3.6*2.1*1.8MM BECU            2 GND4
34.4B312.002     EMI SMT SQ-130G EMI STOP              1 GND3
34.4G502.001     BOSS MINI CARD MYALL                  2 H2
34.4G502.001     BOSS MINI CARD MYALL                  2 H1
62.10017.691     SKT SODIMM 200P 1717379-4 SMD         1 DM2
62.10017.A71     SKT SODIMM 200P 1-1775860-1           1 DM1
62.10043.461     SKT MINI PCI 52P PFPET0-              1 MINIC1
62.10053.401     SKT MPGA 479P PZ47923-2741-01         1 U44
62.40009.431     SW TACT 5P NTC010-FC1G-B160T          3 RIGHT1
62.40009.431     SW TACT 5P NTC010-FC1G-B160T          3 LEFT2
62.40009.431     SW TACT 5P NTC010-FC1G-B160T          3 LEFT1
62.70001.011     HOLD BTY 2P BB10201-C1401-7F          1 RTC1
64.71525.6DL     CHP RES 71.5K F 1/16W 0402            1 R261
66.10136.04L     CHIP NTW 100 J 4P 1*1 (ROHS)          1 RN16
66.10336.04L     CHIP NTW 10K J I 4P 1*1(ROHS)         1 RN20
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN32
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN31
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN30
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN25
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN23
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN22
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN21
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN19
66.10336.08L     CHIP NTW 10K J 8P I 2*1               9 RN17
66.10336.10L     CHIP NTW 10K J 10P I 3.2*1.6          3 RP3
66.10336.10L     CHIP NTW 10K J 10P I 3.2*1.6          3 RP2
66.10336.10L     CHIP NTW 10K J 10P I 3.2*1.6          3 RP1
66.47236.04L     CHIP NTW 4.7K J I 4P 1*1              1 RN29
66.47236.08L     CHIP NTW 4.7K J 8P I 2*1(ROHS)        2 RN27
66.47236.08L     CHIP NTW 4.7K J 8P I 2*1(ROHS)        2 RN18
66.47336.08L     CHIP NTW 47K J 8P I 2*1(ROHS)         1 RN33
66.56036.08L     CHIP NTW 56 J 8P 2*1 (ROHS)          14 RN9
66.56036.08L     CHIP NTW 56 J 8P 2*1 (ROHS)          14 RN8
66.56036.08L     CHIP NTW 56 J 8P 2*1 (ROHS)          14 RN7
66.56036.08L     CHIP NTW 56 J 8P 2*1 (ROHS)          14 RN6
66.56036.08L     CHIP NTW 56 J 8P 2*1 (ROHS)          14 RN5
